_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,geometry
961,961,11901986,ST MALACHY CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,80 BENNETT RD,English Separate,11901986,80,Bennett Rd,80 Bennett Rd,M1E 3Y3,Scarborough,Toronto,St. Malachy Catholic School,102003,11901984,80,,,,7338,"{'type': 'MultiPoint', 'coordinates': [[-79.1663503950133, 43.7711329119069]]}"
962,962,996286,ST MARCELLUS CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,15 DENFIELD ST,English Separate,996286,15,Denfield St,15 Denfield St,M9R 3H2,Etobicoke,Toronto,St. Marcellus Catholic School,106007,909523,15,,,,1457,"{'type': 'MultiPoint', 'coordinates': [[-79.5542249529223, 43.6797919363761]]}"
963,963,14120386,ST MARGARET CATHOLIC ELEMENTARY SCHOOL - AMEER SITE,,ES,Toronto Catholic District School Board,50 AMEER AVE,English Separate,14120386,50,Ameer Ave,50 Ameer Ave,M6A 2L3,North York,Toronto,Sir Sandford Fleming Academy,102004,30061212,50,,,,4790,"{'type': 'MultiPoint', 'coordinates': [[-79.4417054054556, 43.7286921824032]]}"
964,964,496586,ST MARGARET CATHOLIC ELEMENTARY SCHOOL - CARMICHAEL SITE,,ES,Toronto Catholic District School Board,85 CARMICHAEL AVE,English Separate,496586,85,Carmichael Ave,85 Carmichael Ave,M5M 2X1,North York,Toronto,St. Margaret Catholic School,102003,443017,85,,,,5123,"{'type': 'MultiPoint', 'coordinates': [[-79.426648415056, 43.7359856885179]]}"
965,965,4650231,ST MARGARET'S PUBLIC SCHOOL,,EP,Toronto District School Board,235 GALLOWAY RD,English Public,4650231,235,Galloway Rd,235 Galloway Rd,M1E 1X5,Scarborough,Toronto,St. Margaret's Public School,102001,30025638,235,,,,7948,"{'type': 'MultiPoint', 'coordinates': [[-79.195821221175, 43.7679505557947]]}"
966,966,300816,ST MARGUERITE BOURGEOYS CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,75 ALEXMUIR BLVD,English Separate,300816,75,Alexmuir Blvd,75 Alexmuir Blvd,M1V 1H6,Scarborough,Toronto,St. Marguerite Bourgeoys Catholic School,102003,104354,75,,,,7182,"{'type': 'MultiPoint', 'coordinates': [[-79.2850919491127, 43.8082306631027]]}"
967,967,10142951,ST MARGUERITE D'YOUVILLE CATHOLIC ELEMENTARY SCHOOL,,FS,Conseil scolaire de district catholique Centre-Sud,755 ROYAL YORK RD,French Separate,10142951,755,Royal York Rd,755 Royal York Rd,M8Y 2T3,Etobicoke,Toronto,,115001,10142922,755,,,,2413,"{'type': 'MultiPoint', 'coordinates': [[-79.5060880634959, 43.6359577030971]]}"
968,968,350045,ST MARIA GORETTI CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,21 KENMARK BLVD,English Separate,350045,21,Kenmark Blvd,21 Kenmark Blvd,M1K 3N8,Scarborough,Toronto,St. Maria Goretti Catholic School,102003,111374,21,,,,8220,"{'type': 'MultiPoint', 'coordinates': [[-79.2659221067688, 43.7298353180624]]}"
969,969,7940024,ST MARK CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,45 CLOVERHILL RD,English Separate,7940024,45,Cloverhill Rd,45 Cloverhill Rd,M8Y 1T4,Etobicoke,Toronto,St. Mark Catholic School,102003,7940021,45,,,,1363,"{'type': 'MultiPoint', 'coordinates': [[-79.4901975062684, 43.6344998506233]]}"
970,970,10257820,ST MARTHA CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,1865 SHEPPARD AVE W,English Separate,10257820,1865,Sheppard Ave W,1865 Sheppard Ave W,M3L 1Y5,North York,Toronto,St. Martha Catholic School,102003,10257821,1865,,,,6699,"{'type': 'MultiPoint', 'coordinates': [[-79.502184631375, 43.7409310902]]}"
