_id,OBJECTID,GEO_ID,NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,GENERAL_USE_CODE,LONG,LAT
312,312,808480,EASTDALE COLLEGIATE INSTITUTE,701 GERRARD ST E,English Public,808480,Gerrard St E,701 Gerrard St E,M4M 1Y4,former Toronto,Toronto,102002,-79.3488189225485,43.6659265701789
313,313,395203,EASTVIEW JUNIOR PUBLIC SCHOOL,20 WALDOCK ST,English Public,395203,Waldock St,20 Waldock St,M1E 2E5,Scarborough,Toronto,102001,-79.1912804405348,43.7589633617233
314,314,1028895,EATONVILLE JUNIOR SCHOOL,15 ROSSBURN DR,English Public,1028895,Rossburn Dr,15 Rossburn Dr,M9C 2P7,Etobicoke,Toronto,102001,-79.5666150696602,43.6378407814724
315,315,8321585,ECOLE ELEMENTAIRE CHARLES SAURIOL,55 PELHAM AVE,French Public,8321585,Pelham Ave,55 Pelham Ave,M6N 1A5,former Toronto,Toronto,102004,-79.4553496275608,43.6676736698194
316,316,992445,ECOLE ELEMENTAIRE FELIX LECLERC,50 CELESTINE DR,French Public,992445,Celestine Dr,50 Celestine Dr,M9R 3N3,Etobicoke,Toronto,102001,-79.561445634234,43.6896931229899
317,317,853146,ECOLE ELEMENTAIRE GABRIELLE ROY,14 PEMBROKE ST,French Public,853146,Pembroke St,14 Pembroke St,M5A 2N7,former Toronto,Toronto,102001,-79.3723195931078,43.6565828383347
318,318,496710,ECOLE ELEMENTAIRE JEANNE LAJOIE,150 CARNFORTH RD,French Public,496710,Carnforth Rd,150 Carnforth Rd,M4A 2K7,North York,Toronto,102001,-79.3214945673811,43.7344967726022
319,319,32143,ECOLE ELEMENTAIRE LA MOSAIQUE,80 QUEENSDALE AVE,French Public,32143,Queensdale Ave,80 Queensdale Ave,M4J 1Y3,East York,Toronto,102005,-79.3305349885319,43.6873304546484
320,320,30022744,ECOLE ELEMENTAIRE LAURE RIESE,339 ALTON TOWERS CRCL,French Public,30022744,Alton Towers Crcl,339 Alton Towers Crcl,M1V 4L3,Scarborough,Toronto,115001,-79.2774220664012,43.8224626055717
321,321,502996,ECOLE ELEMENTAIRE MATHIEU DA COSTA,116 CORNELIUS PKWY,French Public,502996,Cornelius Pkwy,116 Cornelius Pkwy,M6L 2K5,North York,Toronto,102001,-79.4755347034249,43.7178279267229
323,323,13315640,ECOLE ELEMENTAIRE PAUL DEMERS,100 RAVEL RD,French Public,13315640,Ravel Rd,100 Ravel Rd,M2H 1S9,North York,Toronto,102003,-79.367340385707,43.7919518364679
322,322,1001929,ECOLE ELEMENTAIRE MICHELINE-SAINT-CYR,85 41ST ST,French Public,1001929,Forty First St,85 Forty First St,M8W 3P1,Etobicoke,Toronto,102001,-79.5437809919911,43.5902188648384
324,324,7576034,ECOLE ELEMENTAIRE PIERRE ELLIOTT TRUDEAU,65 GRACE ST,French Public,7576034,Grace St,65 Grace St,M6J 2S4,former Toronto,Toronto,102001,-79.4140974855289,43.6519910390116
325,325,486093,ECOLE SECONDAIRE ETIENNE BRULE,300 BANBURY RD,French Public,486093,Banbury Rd,300 Banbury Rd,M2L 2V3,North York,Toronto,102001,-79.3715932541458,43.7522122438944
326,326,8791751,ECOLE SECONDAIRE TORONTO OUEST,330 LANSDOWNE AVE,French Public,8791751,Lansdowne Ave,330 Lansdowne Ave,M6H 3Y1,former Toronto,Toronto,102004,-79.4412354246502,43.6523836303418
